"lon"	"lat"	"rname"
"24"	-71.459405	42.446396	"24"
"201"	-71.088745	42.308198	"201"
"314"	-77.3418	38.96146	"314"
"348"	-117.750414	33.757245	"348"
"350"	-71.088745	42.308198	"350"
"367"	-118.272947	33.920055	"367"
"445"	-89.25037	40.00032	"445"
"519"	-84.47405	33.844371	"519"
"568"	-71.459405	42.446396	"568"
"608"	-77.66258	37.454138	"608"
"687"	-71.088745	42.308198	"687"
"747"	-94.935456	32.1826	"747"
"759"	-81.79481	26.142036	"759"
"810"	-73.76197	41.16845	"810"
"845"	-93.864976	30.071743	"845"
"857"	-77.036366	38.895112	"857"
"924"	-74.010241	40.702898	"924"
"964"	-84.53822	39.166759	"964"
"977"	-77.487162	38.744685	"977"
"1019"	-73.989319	40.694481	"1019"
"1110"	-76.368622	37.021581	"1110"
"1131"	-71.167083	42.417695	"1131"
"1134"	-71.026964	42.370567	"1134"
"1153"	-117.750414	33.757245	"1153"
"1155"	-75.4999	43.00035	"1155"
"1168"	-71.188149	42.353696	"1168"
"1179"	-92.50046	38.25031	"1179"
"1194"	-71.026964	42.370567	"1194"
"1204"	-77.487162	38.744685	"1204"
"1221"	-74.693953	40.343625	"1221"
"1252"	-71.2398	42.388938	"1252"
"1266"	-71.2245	42.44732	"1266"
"1316"	-122.47011	37.730308	"1316"
"1343"	-71.27875	42.300596	"1343"
"1364"	-71.167083	42.417695	"1364"
"1398"	-76.483999	42.402794	"1398"
"1631"	-71.414451	41.82275	"1631"
"1644"	-71.026964	42.370567	"1644"
"1690"	-71.088745	42.308198	"1690"
"1766"	-71.088745	42.308198	"1766"
"1812"	-107.5009	43.00024	"1812"
"1872"	-117.925338	33.870292	"1872"
"1874"	-77.367457	38.983887	"1874"
"1983"	-71.088745	42.308198	"1983"
"2002"	-84.87762	38.20042	"2002"
"2006"	-117.90006	33.916681	"2006"
"2073"	-96.171104	41.291736	"2073"
"2077"	-75.4999	43.00035	"2077"
"2088"	-71.188149	42.353696	"2088"
"2346"	-122.537745	37.966335	"2346"
"2361"	-71.459405	42.446396	"2361"
"2439"	-76.623489	39.296536	"2439"
"2476"	-122.29673	37.860576	"2476"
"2500"	-101.831297	35.221997	"2500"
"2549"	-117.753346	33.876584	"2549"
"2658"	-71.2245	42.44732	"2658"
"2711"	-82.582035	27.996097	"2711"
"2715"	-93.343673	37.25807	"2715"
"2726"	-91.9042	31.4054	"2726"
"2734"	-71.2245	42.44732	"2734"
"2825"	-71.188149	42.353696	"2825"
"2833"	-82.719267	28.244177	"2833"
"2852"	-77.605404	39.041987	"2852"
"2878"	-117.925338	33.870292	"2878"
"2881"	-71.199499	42.330653	"2881"
"2883"	-71.08923	42.180048	"2883"
"2907"	-76.623489	39.296536	"2907"
