k02means,k03means,k04means,k05means,k06means,k07means,k08means,k09means,k10means
0.07036459,0.180416699,0.246554283,0.285423549,0.392857376,0.6534741,0.53823784,0.565233713,0.560985392
0.060604013,0.092699287,0.282762822,0.412839743,0.422076127,0.502149025,0.414646215,0.574443706,0.552042513
0.106475247,0.175780867,0.212126301,0.329545888,0.446602875,0.416621373,0.552997701,0.501281977,0.601392128
0.065863125,0.092236732,0.270911898,0.452057332,0.446500791,0.315385769,0.555124472,0.591611671,0.704703273
0.103131868,0.18481951,0.319848565,0.292968741,0.446856356,0.658207714,0.528209872,0.58522155,0.599601427
0.078483842,0.10664345,0.198466472,0.199130025,0.513312444,0.671631617,0.5536042,0.552857686,0.489893317
0.067731714,0.084270416,0.254464773,0.319353631,0.526620857,0.511409017,0.736360526,0.667599473,0.754095828
0.103164394,0.182945129,0.30254895,0.420364807,0.312469613,0.541373244,0.713834747,0.588849005,0.820053721
0.111882109,0.101487644,0.24551967,0.373174717,0.434035761,0.4584359,0.622414767,0.54723581,0.743697796
0.070212784,0.105868205,0.211734981,0.375848297,0.469203697,0.690060198,0.772168435,0.573845356,0.58118962
0.101187309,0.01819833,0.14409012,0.351627366,0.426357755,0.52164242,0.720532501,0.53403979,0.797894572
0.068725237,0.102258808,0.219786163,0.337061364,0.428398915,0.486832794,0.518475688,0.508736983,0.669225547
0.067997127,0.092439506,0.260223773,0.346426789,0.478036643,0.519924242,0.500246775,0.589656717,0.706896494
0.061993546,0.096354419,0.200642125,0.406783415,0.37013768,0.430836627,0.785280779,0.711955948,0.647161156
0.08029869,0.021534191,0.274696433,0.341839781,0.491898546,0.416599474,0.537281214,0.529192212,0.623987263
0.068470174,0.105064834,0.23170238,0.360645048,0.663562159,0.615289321,0.537472325,0.768694901,0.581380204
0.07032908,0.178122074,0.230595083,0.267370784,0.44881737,0.487879546,0.573933073,0.64665558,0.769552262
0.10678033,0.164654238,0.250038635,0.305972439,0.347683216,0.53413351,0.535080111,0.796144149,0.654014901
0.080287628,0.103543186,0.221002001,0.294396208,0.56327984,0.461290373,0.737389102,0.612380195,0.612838924
0.117273598,0.178500171,0.224889631,0.391564906,0.695489634,0.430812531,0.542413103,0.656220628,0.612253467
0.010103094,0.109736692,0.287557699,0.432892809,0.393731933,0.545649095,0.579074972,0.514935467,0.583843053
0.061801133,0.02384763,0.229637995,0.477468896,0.487522069,0.471209081,0.777256795,0.52131799,0.596987039
0.051456486,0.181275133,0.279623792,0.349961656,0.374938628,0.52989899,0.601815334,0.766179423,0.563178179
0.075135478,0.174016551,0.320207611,0.312321679,0.268578317,0.737434698,0.551295297,0.59521638,0.568870408
0.088839862,0.192297117,0.337864634,0.470256668,0.388571608,0.691892594,0.454069027,0.644331826,0.598583006
0.081942971,0.089108108,0.253492962,0.436674598,0.569982361,0.507412929,0.709851332,0.553243943,0.627676519
0.061519284,0.019736756,0.213503833,0.218206126,0.504934123,0.702841363,0.483702144,0.469921084,0.571947694
0.058629463,0.195671121,0.123562679,0.400926566,0.578428793,0.481474233,0.471880446,0.533863438,0.638020588
0.007566075,0.096996246,0.284629387,0.34353086,0.301191537,0.497911637,0.746680902,0.762998641,0.623876655
0.011393771,0.102929559,0.26810922,0.357113367,0.406180685,0.770923106,0.520932035,0.607513568,0.748477203
0.066541111,0.022699304,0.154482494,0.319356033,0.636679973,0.529368934,0.73868591,0.521859262,0.630186289
0.05594995,0.180083859,0.198384934,0.340633142,0.440759146,0.495355758,0.587751948,0.741558391,0.56190848
0.067886991,0.095955661,0.219815108,0.396834273,0.371090472,0.456085448,0.462616753,0.659037448,0.620552177
0.084965581,0.179874311,0.302909599,0.375317602,0.441167212,0.451397668,0.571032245,0.770433132,0.76897161
0.053186516,0.088937447,0.164432716,0.262484309,0.486147101,0.505507324,0.537995976,0.574185683,0.820917156
0.010441816,0.086457022,0.215167561,0.467924383,0.445906383,0.676600933,0.570867604,0.568399007,0.602583819
0.006748471,0.177439775,0.250976461,0.260668786,0.471981965,0.476355716,0.408177,0.942430903,0.575585481
0.078736279,0.203261583,0.303237676,0.286833338,0.37908531,0.409275287,0.565031315,0.574883925,0.597577189
0.060160011,0.101357497,0.276153521,0.432780496,0.452391771,0.443066281,0.519261779,0.552120266,0.764043732
0.110687514,0.087205035,0.283137796,0.287015068,0.33637535,0.458981654,0.748957889,0.547194624,0.609214829
0.038399635,0.176364244,0.255247726,0.329507685,0.658605175,0.704594676,0.537152486,0.573973501,0.609320689
0.11034895,0.177835691,0.23651882,0.447729294,0.340151902,0.648221112,0.782276651,0.592444486,0.590969702
0.020316171,0.188228949,0.260361405,0.297536131,0.727695606,0.461161896,0.494270585,0.52225384,0.578831538
0.010223889,0.02292365,0.322477608,0.439914108,0.467944372,0.769506005,0.509485827,0.537708401,0.767580484
0.009626911,0.102358694,0.177426984,0.2957002,0.419600376,0.381526562,0.574147662,0.786322728,0.824631821
0.052907108,0.111817352,0.283072323,0.255617408,0.519600253,0.516231338,0.609132371,0.465000273,0.677677882
0.050592356,0.113837426,0.318992611,0.400080022,0.321707507,0.533381089,0.530562916,0.615154008,0.573295091
0.066785332,0.181601153,0.409627367,0.661933656,0.758765687,0.502283358,0.733891456,0.756455075,0.657214262
0.114955735,0.105016743,0.347588143,0.362452432,0.421315336,0.694221411,0.500017572,0.603857314,0.644989569
0.017205317,0.019125363,0.260318266,0.30444194,0.452893252,0.354461358,0.467551582,0.802062724,0.548606889
0.058875502,0.101559508,0.222286169,0.317790775,0.531783519,0.451082602,0.488029752,0.586129877,0.766573798
0.00659941,0.168655056,0.225020465,0.67555672,0.447296066,0.414690033,0.577162454,0.558228728,0.587861988
